song_title,lyrics
Oh! You Pretty Things,"Wake up, you sleepy head
Put on some clothes, shake up your bed
Put another log on the fire for me
I've made some breakfast and coffee

I look out my window, what do I see?
A crack in the sky and a hand reaching down to me
All the nightmares came today
And it looks as though they're here to stay

What are we coming to
No room for me, no fun for you
I think about a world to come
Where the books were found by the golden ones

Written in pain, written in awe
By a puzzled man who questioned what we work here for
All the strangers came today
And it looks as though they're here to stay

Oh, you pretty things (Oh, you pretty things)
Don't you know you're driving your mamas and papas insane
Oh, you pretty things (Oh, you pretty things)
Don't you know you're driving your mamas and papas insane
Let me make it plain, you got to make way for the Homo superior

Look out at your children
See their faces in golden rays
Don't kid yourself, they belong to you
They're the start of a coming race

The earth is a bitch, we've finished our news
Homo sapiens have outgrown their use
All the strangers came today
And it looks as though they're here to stay

Oh, you pretty things (Oh, you pretty things)
Don't you know you're driving your mamas and papas insane
Oh, you pretty things (Oh, you pretty things)
Don't you know you're driving your mamas and papas insane
Let me make it plain, you got to make way for the Homo superior"
Lady Stardust,"People stared at the makeup on his face
Laughed at his long black hair, his animal grace
The boy in the bright blue jeans
Jumped up on the stage
Lady stardust sang songs
Of darkness and disgrace

And he was all right, the band was all together
Yes, he was all right, the song went on forever
Yes, he was awful nice
Really quite out of sight
And he sang all night long

Femme fatales emerged from shadows
To watch this creature fair
Boys stood upon their chairs
To make their point of view
I smiled sadly for a love I could not obey
Lady stardust sang songs
Of darkness and dismay

And he was all right, the band was all together
Yes, he was all right, his song went on forever
And he was awful nice
Really quite paradise
And he sang all night long

Oh, how I sighed when they asked if I knew his name

Oh there was all right, the band was all together
Yes, he was all right, and his song went on forever
He was awful nice
Really quite paradise
He sang all night long"
Ziggy Stardust,"Oh
Oh, yeah

Ziggy played guitar
Jamming good with Weird and Gilly
And the Spiders from Mars
He played it left hand
But made it too far
Became the special man
Then we were Ziggy's band

Ziggy really sang
Screwed-up eyes and screwed-down hairdo
Like some cat from Japan
He could lick 'em by smiling
He could leave 'em to hang
They came on so loaded, man
Well-hung and snow-white tan

So where were the spiders
While the fly tried to break our balls?
Just the beer light to guide us
So we bitched about his fans
And should we crush his sweet hands?
Oh

Ziggy played for time
Jiving us that we were voodoo
The kids were just crass
He was the nazz
With God-given ass
He took it all too far
But, boy, could he play guitar

Making love with his ego
Ziggy sucked up into his mind, ah
Like a leper messiah
When the kids had killed the man
I had to break up the band

Oh, yeah
Ooh

Ziggy played guitar"
Rock n Roll Suicide,"Time takes a cigarette, puts it in your mouth
You pull on your finger, then another finger, then cigarette
The wall-to-wall is calling, it lingers, then you forget
Oh, you're a rock 'n' roll suicide

You're too old to lose it, too young to choose it
And the clock waits so patiently on your song
You walk past a cafe, but you don't eat when you've lived too long
Oh, no, no, no, you're a rock 'n' roll suicide

Chev brakes are snarling as you stumble across the road
But the day breaks instead, so you hurry home
Don't let the sun blast your shadow
Don't let the milk float ride your mind
You're so natural, religiously unkind

Oh no, love, you're not alone
You're watching yourself, but you're too unfair
You got your head all tangled up, but if I could only make you care
Oh no, love, you're not alone
No matter what or who you've been
No matter when or where you've seen
All the knives seem to lacerate your brain
I've had my share, I'll help you with the pain
You're not alone

Just turn on with me, and you're not alone
Let's turn on and be not alone (Wonderful)
Gimme your hands, 'cause you're wonderful (Wonderful)
Gimme your hands, 'cause you're wonderful (Wonderful)
Oh, gimme your hands"
Suffragette City,"Hey man
Oh, leave me alone, you know
Hey man
Oh Henry, get off the phone, I gotta
Hey man
I gotta straighten my face
This mellow-thighed chick just put my spine out of place

Hey man
My schoolday's insane
Hey man
My work's down the drain
Hey man
Well, she's a total blam-blam
She said she had to squeeze it but she, and then she

Oh, don't lean on me, man
'Cause you can't afford the ticket
Back from Suffragette City
Oh, don't lean on me, man
'Cause you ain't got time to check it
You know my Suffragette City
Is outta sight
She's all right

Hey man
Oh Henry, don't be unkind, go away
Hey man
I can't take you this time, no way
Hey man
D-droogie don't crash here
There's only room for one and here she comes, here she comes

Oh, don't lean on me, man
'Cause you can't afford the ticket
I'm back on Suffragette City
Oh, don't lean on me, man
'Cause you ain't got time to check it
You know my Suffragette City
Is outta sight
She's all right

Oh, hit me

Oh, don't lean on me, man
'Cause you can't afford the ticket
I'm back from Suffragette City
Oh, don't lean on me, man
'Cause you ain't got time to check it
You know my Suffragette City

Don't lean on me, man
'Cause you can't afford the ticket
I'm back from Suffragette City
Don't lean on me, man
'Cause you ain't got time to check it
You know my Suffragette City
Is outta sight
Oh, she's all right

My Suffragette City
My Suffragette City
I'm back on Suffragette City
I'm back on Suffragette City
Ooh, oh Suffragette City
Ooh, my Suffragette City
Ooh-how, my Suffragette City
Ooh-how, yea

Ah, wham bam thank you ma'am!

My Suffragette City
My Suffragette City - Quite alright
My Suffragette City - Too fine
My Suffragette City
Oh, my Suffragette City
Oh, my Suffragette City
Oh, my Suffragette City
Suffragette!"
Star,"Tony went to fight in Belfast
Rudi stayed at home to starve
I could make it all worthwhile as a rock 'n' roll star
Bevan tried to change the nation
Sonny wants to turn the world, well he can tell you that he tried

I could make a transformation as a rock 'n' roll star
So inviting - so enticing to play the part
I could play the wild mutation as a rock 'n' roll star
Get it all, yeah
Ooh, yeah
I could do with the money
I'm so wiped out with things as they are
I'd send my photograph to my honey - and I'd come on like a regular superstar

I could make a transformation as a rock 'n' roll star
So inviting - so enticing to play the part
I could play the wild mutation as a rock 'n' roll star
Get it all, yeah
I could do with the money
I'm so wiped out with things as they are
I'd send my photograph to my honey - and I'd come on like a regular superstar

I could fall asleep at night as a rock 'n' roll star
I could fall in love all right as a rock 'n' roll star

Rock 'n' roll star

Rock 'n' roll star"
Soul Love,"Stone love, she kneels before the grave
A brave son, who gave his life to see the slogan
That hovers between the headstone and her eyes
For they penetrate her grieving

New love, a boy and girl are talking
New words, that only they can share in 
New words, a love so strong it tears their hearts
To sleep through the fleeting hours of morning

Love is careless in it's choosing, sweeping over 'cross a baby
Love descends on those defenseless
Idiot love will spark the fusion
Inspirations have I none, just to touch the flaming dove
All I have is my love of love, and love is not loving

Soul love, the priest that tastes the word and
Told of love, and how my God on high is
All love, though reaching up my loneliness evolves
By the blindness that surrounds him

Love is careless in it's choosing, sweeping over 'cross a baby
Love descends on those defenseless
Idiot love will spark the fusion
Inspirations have I none, just to touch the flaming dove
All I have is my love of love, and love is not loving"
Starman,"Hey my love
Goodbye love

Didn't know what time it was, the lights were low
I leaned back on my radio
Some cat was layin' down some rock 'n' roll, ""Lotta soul,"" he said
Then the loud sound it seemed to fade
Came back like a slow voice on a wave of phase
That weren't no DJ, that was hazy cosmic jive

There's a starman waiting in the sky
He'd like to come and meet us
But he thinks he'd blow our minds
There's a starman waiting in the sky
He's told us not to blow it
'Cause he knows it's all worthwhile
He told me
Let the children lose it
Let the children use it
Let all the children boogie

I had to phone someone, so I picked on you
Hey, that's far out, so you heard him, too
Switch on the TV, we may pick him up on Channel Two
Look out your window, I can see his light
If we can sparkle, he may land tonight
Don't tell your papa or he'll get us locked up in fright

There's a starman waiting in the sky
He'd like to come and meet us
But he thinks he'd blow our minds
There's a starman waiting in the sky
He's told us not to blow it
'Cause he knows it's all worthwhile
He told me
Let the children lose it
Let the children use it
Let all the children boogie

Starman waiting in the sky
He'd like to come and meet us
But he thinks he'd blow our minds
There's a starman waiting in the sky
He's told us not to blow it
'Cause he knows it's all worthwhile
He told me
Let the children lose it
Let the children use it
Let all the children boogie"
Five Years,"Pushing through the market square
So many mothers sighing
News had just come over
We had five years left to cry in

News guy wept and told us
Earth was really dying
Cried so much his face was wet
Then I knew he was not lying

I heard telephones, opera house, favourite melodies
I saw boys, toys, electric irons and TVs
My brain hurt like a warehouse, it had no room to spare
I had to cram so many things to store everything in there

And all the fat-skinny people
And all the tall-short people
And all the nobody people
And all the somebody people
I never thought I'd need so many people

A girl my age went off her head
Hit some tiny children
If the black hadn't a-pulled her off
I think she would have killed them

A soldier with a broken arm
Fixed his stare to the wheels of a Cadillac
A cop knelt and kissed the feet of a priest
And a queer threw up at the sight of that

I think I saw you in an ice cream parlour
Drinking milk shakes, cold and long
Smiling and waving and looking so fine
Don't think you knew you were in this song

And it was cold and it rained, so I felt like an actor
And I thought of Ma and I wanted to get back there
Your face, your race, the way that you talk
I kiss you, you're beautiful, I want you to walk

We've got five years, stuck on my eyes
Five years, what a surprise
We've got five years, my brain hurts a lot
Five years, that's all we've got

We've got five years, what a surprise
Five years, stuck on my eyes
We've got five years, my brain hurts a lot
Five years, that's all we've got

We've got five years, stuck on my eyes
Five years, what a surprise
We've got five years, my brain hurts a lot
Five years, that's all we've got

We've got five years, what a surprise
We've got five years, stuck on my eyes
We've got five years, my brain hurts a lot
Five years, that's all we've got

Five years
Five years
Five years
Five years"
The Jean Genie,"A small Jean Genie snuck off to the city
Strung out on lasers and slash back blazers and
Ate all your razors while pulling the waiters
Talking 'bout Monroe and walking on Snow White
New York's a go-go and everything tastes nice
Poor little Greenie, woohoo

The Jean Genie lives on his back
The Jean Genie loves chimney stacks
(The Jean Genie) he's outrageous, he screams and he bawls
The Jean Genie, let yourself go

Sits like a man, but he smiles like a reptile
She loves him, she loves him, but just for a short while
She'll scratch in the sand, won't let go his hand
He says he's a beautician and sells you nutrition
And keeps all your dead hair for making up underwear
Poor little Greenie, woohoo

The Jean Genie lives on his back
The Jean Genie loves chimney stacks
(The Jean Genie) he's outrageous, he screams and he bawls
The Jean Genie, let yourself go

He's so simple minded, he can't drive his module
He bites on the neon and sleeps in the capsule
Loves to be loved
Loves to be loved

The Jean Genie lives on his back
The Jean Genie loves chimney stacks
(The Jean Genie) he's outrageous, he screams and he bawls
The Jean Genie, let yourself go

Go
Go

The Jean Genie lives on his back
The Jean Genie loves chimney stacks
(The Jean Genie) he's outrageous, he screams and he bawls
The Jean Genie, let yourself go

Go
Go, go"
Panic in Detroit,"Ooh

He looked a lot like Che Guevara, drove a diesel van
Kept his gun in quiet seclusion, such a humble man
The only survivor of the National People's Gang
Panic in Detroit, I asked for an autograph
He wanted to stay home, I wish someone would phone
Panic in Detroit

He laughed at accidental sirens that broke the evening gloom
The police had warned of repercussions, they followed none too soon
A trickle of strangers were all that were left alive
Panic in Detroit, I asked for an autograph
He wanted to stay home, I wish someone would phone
Panic in Detroit

Putting on some clothes, I made my way to school
I found my teacher crouching in his overalls
I screamed and ran to smash my favorite slot machine
And jumped the silent cars that slept at traffic lights

Having scored a trillion dollars, made a run back home
Found him slumped across the table, a gun and me alone
I ran to the window, looked for a plane or two
Panic in Detroit, he'd left me an autograph
""Let me collect dust,"" I wish someone would phone
Panic in Detroit
Panic in Detroit
Panic in Detroit

Ow"
Aladdin Sane (1913–1938–197?),"Watching him dash away
Swinging an old bouquet
Dead roses

Saki and strings divine
You'll make it

Passionate bright young things
Takes him away to war
Don't fake it

Sadden glissando strings
You'll make it

Who will love Aladdin Sane?
Battle cries and champagne just in time for sunrise
Who will love Aladdin Sane?

Motor sensational
Paris or maybe hell
I'm waiting

Clutches of sad remains
Waits for Aladdin Sane
You'll make it

Who will love Aladdin Sane?
Millions weep a fountain, just in case of sunrise
Who will love Aladdin Sane?

Will love Aladdin Sane?
Will love Aladdin Sane?

Who will love Aladdin Sane?
Millions weep a fountain, just in case of sunrise
Who will love Aladdin Sane?
Will love Aladdin Sane?
Will love Aladdin Sane?

(See the lights all shining bright on Broadway)"
Watch That Man,"Shakey threw a party that lasted all night
Everybody drank a lot of something nice
There was an old-fashioned band of married men
Looking up to me for encouragement - it was so-so

The ladies looked bad but the music was sad
No one took their eyes off Lorraine
She shimmered and she strolled like a Chicago moll
Her feathers looked better and better - it was so-so

Yeah! It was time to unfreeze
When the Reverend Alabaster danced on his knees
Slam! So it wasn't a game
Cracking all the mirrors in shame

Watch that man! Oh honey, watch that man!
He walks like a jerk but he could eat you with a fork and spoon
Watch that man! Oh honey, watch that man!
He walks like a jerk but he's only taking care of the room
Must be in tune

A Benny Goodman fan painted holes in his hands
Shakey hung him up to dry
The pundits were joking, the manholes were smoking
Every bottle battled with the reason why

The girl on the phone wouldn't leave me alone
A throw back from someone's LP
A lemon in a bag played a Tiger Rag
And the villains on the screen stopped bleeding

Yeah! I was shaking like a leaf
For I couldn't understand the conversation
Yeah! And I ran to the street, looking for information

Watch that man! Oh honey, watch that man!
He talks like a jerk but he could eat you with a fork and spoon
Watch that man! Oh honey, watch that man!
He walks like a jerk but he's only taking care of the room
Must be in tune

Watch that man
Watch that man
Watch that man
Watch that man
Watch that man
Watch that man
Watch that man
Watch that man
Watch that man
Watch that man
Watch that man
Watch that man"
Cracked Actor,"I've seen all the rest of my Hollywood highs
The best of the last, the cleanest star they ever had
I'm stiff from my legend, the films that I made
Forget that I'm fifty, 'cause you just got paid

Crack, baby, crack, show me you're real
Smack, baby, smack is all that you'll feel 
Suck, baby, suck, give me your head 
Before you start professing that you're knocking me dead
Oh, stay
Please stay
Please stay

You caught yourself a trick down on Sunset and Vine
But since you pinned your baby you're a porcupine
You sold me illusions, a sack full of cheques
You made a bad connection 'cause I just want your sex

Crack, baby, crack, show me you're real
Smack, baby, smack is all that you'll feel
Suck, baby, suck, give me your head
Before you start professing that you're knocking me dead
Oh, stay
Please stay
For a day
Oh yeah
Don't you care?
Oh yeah, yeah, yeah, yeah
Woo!
Oh yeah"
Lady Grinning Soul,"She'll come, she'll go.
She'll lay belief on you
Skin sweet with musky oil
The lady from another grinning soul

Cologne she'll wear. Silver and Americard
She'll drive a beetle car
And beat you down at cool Canasta

And when the clothes are strewn
Don't be afraid of the room
Touch the fullness of her breast.
Feel the love of her caress
She will be your living end

She'll come, she'll go.
She'll lay belief on you
But she won't stake her life on you
How can life become
Her point of view

And when the clothes are strewn
Don't be afraid of the room
Touch the fullness of her breast.
Feel the love of her caress
She will be your living end (repeat)"
Drive-In Saturday,"Let me put my arms around your head
Gee, it's hot, let's go to bed
Don't forget to turn on the light
Don't laugh, babe, it'll be all right
Pour me out another phone
I'll ring and see if your friends are home
Perhaps the strange ones in the dome
Can lend us a book we can read up alone
And try to get it on like once before
When people stared in Jagger's eyes and scored
Like the video films we saw

His name was always Buddy
And he'd shrug and ask to stay
She'd sigh like Twig the Wonder Kid
And turn her face away
She's uncertain if she likes him
But she knows she really loves him
It's a crash course for the ravers
It's a drive-in Saturday

Jung the foreman prayed at work
That neither hands nor limbs would burst
It's hard enough to keep formation
Amid this fallout saturation
Cursing at the Astronette
That stands in steel by his cabinet
He's crashing out with Sylvian
The Bureau Supply for aging men
With snorting head he gazes to the shore
Where once had raged a sea that raged no more
Like the video films we saw

His name was always Buddy
And he'd shrug and ask to stay
And she'd sigh like Twig the Wonder Kid
And turn her face away
She's uncertain if she likes him
But she knows she really loves him
It's a crash course for the ravers
It's a drive-in Saturday

His name was always Buddy
And he'd shrug and ask to stay
And she'd sigh like Twig the Wonder Kid
And turn her face away
She's uncertain if she likes him
But she knows she really loves him
It's a crash course for the ravers
It's a drive-in Saturday, yeah
Yeah

Drive-in Saturday
It's a drive-in Saturday
Drive, drive-in Saturday (It's a drive-in Saturday)
It's a, it's a, it's a, it's a drive-in Saturday, yeah (It's a drive-in Saturday)
It's a, it's a, it's a, yes, sir, yes, sir, yes, sir, yes, sir (It's a drive-in Saturday)
Yes, sir, yes, sir (It's a drive-in Saturday)
(It's a drive-in Saturday)
Yes, sir, yes, sir (It's a drive-in Saturday)"
We Are the Dead,"Something kind of hit me today
I looked at you and wondered if you saw things my way
People will hold us to blame
It hit me today, it hit me today

We're taking it hard all the time
Why don't we pass it by?
Just reply, you've changed your mind
We're fighting with the eyes of the blind
Taking it hard, taking it hard

Yet now
We feel that we are paper, choking on you nightly
They tell me ""Son, we want you, be elusive, but don't walk far""
For we're breaking in the new boys, deceive your next of kin
For you're dancing where the dogs decay, defecating ecstasy
You're just an ally of the leecher
Locator for the virgin King, but I love you in your fuck-me pumps
And your nimble dress that trails
Oh, dress yourself, my urchin one, for I hear them on the rails
Because of all we've seen, because of all we've said
We are the dead

One thing kind of touched me today
I looked at you and counted all the times we had laid
Pressing our love through the night
Knowing it's right, knowing it's right

Now I'm hoping someone will care
Living on the breath of a hope to be shared
Trusting on the sons of our love
That someone will care, someone will care

But now
We're today's scrambled creatures, locked in tomorrow's double feature
Heaven's on the pillow, its silence competes with hell
It's a twenty-four hour service, guaranteed to make you tell
And the streets are full of press men
Bent on getting hung and buried
And the legendary curtains are drawn 'round Baby Bankrupt
Who sucks you while you're sleeping
It's the theater of financiers
Count them, fifty 'round a table
White and dressed to kill

Oh caress yourself, my juicy
For my hands have all but withered
Oh dress yourself my urchin one, for I hear them on the stairs
Because of all we've seen, because of all we've said
We are the dead
We are the dead
We are the dead"
Rock n Roll with Me,"You always were the one that knew
They sold us for the likes of you
I always wanted new surroundings
A room to rent while the lizards lay crying in the heat
Trying to remember who to meet
I would take a foxy kind of stand
While tens of thousands found me in demand

When you rock 'n' roll with me
No one else I'd rather be
Nobody here can do it for me
I'm in tears again
When you rock 'n' roll with me

Gentle hearts are counted down
The queue is out of sight and out of sounds
Me, I'm out of breath, but not quite doubting
I've found a door which lets me out!

When you rock 'n' roll with me
No one else I'd rather be
Nobody down here can do it for me
I'm in tears again
When you rock 'n' roll with me

Oh, when you rock 'n' roll with me,
There's no one else I'd rather be, oh
Nobody down here can do it for me
When you rock 'n' roll with me

When you rock 'n' roll, rock 'n' roll with me
No one else I'd rather, I'd rather be
Nobody down here can do it for me
I'm in tears, I'm in tears
When you rock 'n' roll with me"
Rebel Rebel,"You've got your mother in a whirl
She's not sure if you're a boy or a girl
Hey babe, your hair's alright
Hey babe, let's go out tonight

You like me and I like it all
We like dancing and we look divine
You love bands when they're playing hard
You want more and you want it fast

They put you down, they say I'm wrong
You tacky thing, you put them on

Rebel rebel, you've torn your dress
Rebel rebel, your face is a mess
Rebel rebel, how could they know?
Hot tramp, I love you so

Don't ya?

You've got your mother in a whirl
'Cause she's not sure if you're a boy or a girl
Hey babe, your hair's alright
Hey babe, let's stay out tonight

You like me and I like it all
We like dancing and we look divine
You love bands when they're playing hard
You want more and you want it fast

They put you down, they say I'm wrong
You tacky thing, you put them on

Rebel rebel, you've torn your dress
Rebel rebel, your face is a mess
Rebel rebel, how could they know?
Hot tramp, I love you so

Don't ya?
Uh

Rebel rebel, you've torn your dress
Rebel rebel, your face is a mess
Rebel rebel, how could they know?
Hot tramp, I love you so
Don't ya?

You've torn your dress
Your face is a mess
You can't get enough, but enough ain't the test
You've got your transmission and your live wire
You got your cue line and a handful of 'ludes
You wanna be there when they count up the dudes
And I love your dress
You're a juvenile success
Because your face is a mess
So how could they know?
I said, how could they know?

So what you wanna know?
Calamity's child, chi-chile, chi-chile
Where'd you wanna go?
What can I do for you?
Looks like you've been there too
'Cause you've torn your dress
And your face is a mess
Ooo, your face is a mess
Ooo, ooo, so how could they know?
Eh, eh how could they know?
Eh, eh"
Sweet Thing,"It's safe in the city to love in a doorway
To wrangle some screams from the dawn
And isn't it me, putting pain in a stranger?
Like a portrait in flesh, who trails on a leash
Will you see that I'm scared and I'm lonely?
So I'll break up my room, and yawn and I
Run to the center of things
Where the knowing one says

Boys, boys, it's a sweet thing
Boys, boys, it's a sweet thing, sweet thing
If you want it, boys, get it here, thing
'Cause hope, boys, is a cheap thing, cheap thing

I'm glad that you're older than me
Makes me feel important and free
Does that make you smile, isn't that me?
I'm in your way, and I'll steal every moment
If this trade is a curse, then I'll bless you
And turn to the crossroads, and hamburgers, and...

Boys, boys, it's a sweet thing
Boys, boys, it's a sweet thing, sweet thing
If you want it, boys, get it here, thing
'Cause hope, boys, is a cheap thing, cheap thing"
Sweet Thing (Reprise),"If you want it, boys, get it here thing
'Cause hope, boys, is a cheap thing, cheap thing

Is it nice in your snow storm, freezing your brain?
Do you think that your face looks the same?
Then let it be, it's all I ever wanted
It's a street with a deal, and a taste
It's got claws, it's got me, it's got you"
1984,"Someday they won't let you, now you must agree
The times they are a-telling, and the changing isn't free
You've read it in the tea leaves, and the tracks are on TV
Beware the savage jaw
Of 1984

They'll split your pretty cranium and fill it full of air
And tell that you're 80, but, brother, you won't care
You'll be shooting up on anything, tomorrow's never there
Beware the savage jaw
Of 1984

Come see, come see, remember me?
We played out an all-night movie role
You said it would last, but I guess we enrolled
In 1984 (Who could ask for more?)
1984 (Who could ask for more?)
(More)

I'm looking for a vehicle, I'm looking for a ride
I'm looking for a party, I'm looking for a side
I'm looking for the treason that I knew in '65
Beware the savage jaw
Of 1984

Come see, come see, remember me?
We played out an all-night movie role
You said it would last, but I guess we enrolled
In 1984 (Who could ask for more?)
1984 (Who could ask for more?)
(More)

1984
1984
1984 (More)
1984
1984 (More)
1984"
Diamond Dogs,"As they pulled you out of the oxygen tent
You asked for the latest party
With your silicon hump and your ten-inch stump
Dressed like a priest you was,
Todd Browning's freak you was.

Crawling down the alley on your hands and knee
I'm sure you're not protected for it's plain to see
The Diamond Dogs are poachers and they hide behind trees
Hunt you to the ground they will,
Mannequins with kill appeal

Will they come? - I keep a friend serene
Will they come? - Oh, baby, come unto me
Will they come? - Well, she's come, been, and gone

Come out of the garden, baby
You'll catch your death in the fog
Young girl, they call them the Diamond Dogs
Young girl, they call them the Diamond Dogs

The Halloween Jack is a real cool cat
And he lives on top of Manhattan Chase
The elevator's broke, so he slides down a rope
Onto the street below
Oh Tarzie, go man go

Meets his little hussy with his ghost town approach
Her face is sans feature but she wears a Dali brooch
Sweetly reminiscent, something mother used to bake
Wrecked up and paralysed
Diamond Dogs are civilised

Will they come? - I keep a friend serene
Will they come? - Oh, baby, come unto me
Will they come? - Well, she's come, been, and gone

Come out of the garden, baby
You'll catch your death in the fog
Young girl, they call them the Diamond Dogs
Young girl, they call them the Diamond Dogs
Woo-ooh-hoo-ooh, call them the Diamond Dogs
Woo-ooh-hoo-ooh, call them the Diamond Dogs

Oh! Who!
Ooh ...

In the year of the scavenger, the season of the bitch
Sashay on the boardwalk, scurry to the ditch
Just another future song, lonely little kitsch
There's gonna be sorrow
Try and wake up tomorrow

Will they come? - I keep a friend serene
Will they come? - Oh, baby, come unto me
Will they come? - Well, she's come, been, and gone

Come out of the garden, baby
You'll catch your death in the fog
Young girl, they call them the Diamond Dogs
Young girl, they call them the Diamond Dogs

Woo-ooh-hoo-ooh, call them the Diamond Dogs
Woo-ooh-hoo-ooh, call them the Diamond Dogs
Waf waf! Woof woof! Wah wah!
Call them the Diamond Dogs
Dogs!
Call them the Diamond Dogs
Call them, they call them
Call them the Diamond Dogs, call them, they call them
Call them the Diamond Dogs

Keep cool!
Diamond Dogs rule
OK?

Beware of the Diamond Dogs
Beware of the Diamond Dogs
Beware of the Diamond Dogs, yeah. oh
Beware of the Diamond Dogs, yeah, oh"
Chant of the Ever Circling Skeletal Family,"Brother
Ooh-ooh
Shake it up, shake it up
Move it up, move it up
Brother
Ooh-ooh
Shake it up, shake it up
Move it up, move it up
Brother
Ooh-ooh
Shake it up, shake it up
Move it up, move it up
Brother
Ooh-ooh
Shake it up, shake it up
Move it up, move it up
Brother
Ooh-ooh
Shake it up, shake it up
Move it up, move it up
Brother
Ooh-ooh
Shake it up, shake it up
Move it up, move it up

Bro bro bro bro bro bro bro bro bro bro
Bro bro bro bro bro bro bro bro bro bro
Bro bro bro bro bro bro bro bro bro bro
Bro bro bro bro bro bro bro bro bro bro
Bro bro bro bro bro bro bro bro bro bro
Bro bro bro bro bro bro bro bro bro bro bro
Bro bro bro bro bro bro bro bro bro"
Candidate,"I'll make you a deal like any other candidate.
We'll pretend were walking home cause your future's at stake
My set is amazing, it even smells like the street
There is a bar at the end where I could meet you and your friend.
Someone scrawled on the wall ""I smell the blood of les tricoteuses""
Who wrote up scandals in other bars

I am having so much fun with the poisonous people
Spreading rumors and lies and stories they made up
Some make you sing and some make you scream
One makes you wish that you never been seen
But there's a shop on the corner selling papier mache
Making bullet-proof faces Charles Manson, Cassius Clay
If you want it, boys get it here thing.

So you scream out of line
""I want you! I need you! Anyone out there? Anytime?
Tres butch little numberwang ""Hey girlie, I want you
When it's good it's really good and when it's bad I go to pieces""
If you want it, boys, get it here, thing
Well, on the street where you live I could not hold up my head
For I put all I have in another bed
On another floor, in the back of a car
In the cellar of a church with the door ajar.
Well, I guess we must be looking for a different kind
But we can't stop trying till we break up our minds
Till the sun drips blood on the seedy young knights
Who press you on the ground while shaking in fright
I guess we could cruise down one more time
With you by my side, it should be fine
We'll buy some drugs and watch a band
Then jump in the river holding hands"
All the Young Dudes,"Billy rapped all night about his suicide
How he'd kick it in the head when he was 25
Don't want to stay alive when you're 25

Wendy's stealing clothes from unlocked cars
Freddy's got spots from ripping off stars from his face
A funky little boat race

The television man is crazy
Saying we're juvenile delinquent wrecks
But, man, I need a TV when I've got T. Rex
Hey, brother, you guessed
I'm a dude 

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

Now Jimmy's looking sweet though he dresses like a queen
He can kick like a mule
It's a real mean team
We can love
We can love

And my brother's back at home
With his Beatles and his Stones
We never got it off on that revolution stuff
What a drag
Too many snags

Well, I drunk a lot of wine
And I'm feeling fine
Gonna race some cat to bed
Is this concrete all around
Or is it in my head?
Oh, brother, you guessed
I'm a dude

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

All the young dudes
Carry the news
Boogaloo dudes
Carry the news"
Big Brother,"Don't talk of dust and roses
Or should we powder our noses?
Don't live for last year's capers
Give me steel, give me steel, give me pulsars unreal
He'll build a glass asylum
With just a hint of mayhem
He'll build a better whirlpool
We'll be living from sin
Then we can really begin

Please saviour, saviour, show us 
Hear me, I'm graphically yours 
Someone to claim us, someone to follow 
Someone to shame us, some brave Apollo
Someone to fool us, someone like you
We want you, Big Brother, Big Brother

I know you think you're awful square 
But you made everyone and you've been everywhere
Lord, I'd take an overdose if you knew what's going down

Someone to claim us, someone to follow
Someone to shame us, some brave Apollo
Someone to fool us, someone like you

Someone to claim us, someone to follow
Someone to shame us, some brave Apollo
Someone to fool, someone like you

Someone to claim us, someone to follow 
Someone to shame us, some brave Apollo 
Someone to fool, someone like you
We want you, Big Brother"
Future Legend,"spoken:
And in the death,
As the last few corpses lay rotting on the slimy thoroughfare,
The shutters lifted in inches in Temperance Building
High on Poacher's Hill
And red mutant eyes gaze down on Hunger City
No more big wheels.

Fleas the size of rats sucked on rats the size of cats
And ten thousand peoploids split into small tribes
Coveting the highest of the sterile skyscrapers
Like packs of dogs assaulting the glass fronts of Love-Me Avenue
Ripping and rewrapping mink and shiny silver fox -now legwarmers
Family badge of sapphire and cracked emerald
Any day now

The Year of the Diamond Dogs

This ain't rock'n'roll - this is genocide."
